Date;session
1.01.2021 00:03;8
1.01.2021 00:05;8
1.01.2021 00:06;17
1.01.2021 00:08;25
1.01.2021 00:12;8
1.01.2021 00:13;8
1.01.2021 00:14;42
1.01.2021 00:15;8
1.01.2021 00:17;8
1.01.2021 00:20;8
1.01.2021 00:23;8
1.01.2021 00:25;25
1.01.2021 00:26;8
1.01.2021 00:28;17
1.01.2021 00:29;17
1.01.2021 00:30;17
1.01.2021 00:31;33
1.01.2021 00:32;16
1.01.2021 00:33;8
1.01.2021 00:34;8
1.01.2021 00:35;8
1.01.2021 00:41;8
1.01.2021 00:43;17
1.01.2021 00:45;8
1.01.2021 00:47;8
1.01.2021 00:48;8
1.01.2021 00:49;8
1.01.2021 00:53;8
1.01.2021 00:54;8
1.01.2021 00:56;8
1.01.2021 00:59;8
1.01.2021 01:00;8
1.01.2021 01:01;8
1.01.2021 01:02;8
1.01.2021 01:03;8
1.01.2021 01:04;8
1.01.2021 01:06;8
1.01.2021 01:09;8
1.01.2021 01:11;17
1.01.2021 01:15;17
1.01.2021 01:17;8
1.01.2021 01:21;8
1.01.2021 01:23;8
1.01.2021 01:25;8
1.01.2021 01:26;17
1.01.2021 01:27;8
1.01.2021 01:28;25
1.01.2021 01:29;8
1.01.2021 01:31;8
1.01.2021 01:32;8
1.01.2021 01:33;17
1.01.2021 01:34;8
1.01.2021 01:35;8
1.01.2021 01:37;8
1.01.2021 01:39;25
1.01.2021 01:41;17
1.01.2021 01:42;17
1.01.2021 01:44;8
1.01.2021 01:45;8
1.01.2021 01:47;17
1.01.2021 01:50;8
1.01.2021 01:52;8
1.01.2021 01:53;8
1.01.2021 01:55;8
1.01.2021 01:56;8
1.01.2021 01:59;8
1.01.2021 02:06;8
1.01.2021 02:07;17
1.01.2021 02:08;8
1.01.2021 02:10;8
1.01.2021 02:15;8
1.01.2021 02:16;25
1.01.2021 02:17;8
1.01.2021 02:20;8
1.01.2021 02:22;8
1.01.2021 02:23;8
1.01.2021 02:25;8
1.01.2021 02:27;16
1.01.2021 02:32;17
1.01.2021 02:38;8
1.01.2021 02:39;8
1.01.2021 02:43;8
1.01.2021 02:45;8
1.01.2021 02:46;8
1.01.2021 02:48;8
1.01.2021 02:50;17
1.01.2021 02:54;8
1.01.2021 02:56;17
1.01.2021 02:57;8
1.01.2021 02:58;8
1.01.2021 02:59;8
1.01.2021 03:03;8
1.01.2021 03:05;16
1.01.2021 03:06;8
1.01.2021 03:24;8
1.01.2021 03:25;8
1.01.2021 03:30;8
1.01.2021 03:36;8
1.01.2021 03:44;8
1.01.2021 03:48;8
1.01.2021 03:50;17
1.01.2021 04:01;8
1.01.2021 04:08;16
1.01.2021 04:17;8
1.01.2021 04:20;8
1.01.2021 04:23;8
1.01.2021 04:28;8
1.01.2021 04:35;8
1.01.2021 04:37;8
1.01.2021 04:44;8
1.01.2021 04:54;8
1.01.2021 04:55;8
1.01.2021 05:07;8
1.01.2021 05:14;8
1.01.2021 05:21;8
1.01.2021 05:39;8
1.01.2021 05:45;8
1.01.2021 06:05;8
1.01.2021 06:14;8
1.01.2021 06:33;8
1.01.2021 06:53;8
1.01.2021 07:02;8
1.01.2021 07:06;8
1.01.2021 07:22;8
1.01.2021 07:29;8
1.01.2021 07:30;8
1.01.2021 07:38;8
1.01.2021 07:45;17
1.01.2021 07:59;8
1.01.2021 08:01;8
1.01.2021 08:02;8
1.01.2021 08:07;8
1.01.2021 08:09;8
1.01.2021 08:12;8
1.01.2021 08:13;8
1.01.2021 08:17;8
1.01.2021 08:31;8
1.01.2021 08:33;8
1.01.2021 08:35;8
1.01.2021 08:41;8
1.01.2021 08:44;16
1.01.2021 08:51;8
1.01.2021 08:55;8
1.01.2021 08:58;8
1.01.2021 09:10;17
1.01.2021 09:18;8
1.01.2021 09:21;8
1.01.2021 09:23;8
1.01.2021 09:36;8
1.01.2021 09:38;17
1.01.2021 09:39;8
1.01.2021 09:50;8
1.01.2021 09:52;8
1.01.2021 10:04;8
1.01.2021 10:05;8
1.01.2021 10:07;8
1.01.2021 10:09;8
1.01.2021 10:10;8
1.01.2021 10:12;17
1.01.2021 10:13;8
1.01.2021 10:16;8
1.01.2021 10:17;8
1.01.2021 10:27;16
1.01.2021 10:29;8
1.01.2021 10:38;17
1.01.2021 10:39;8
1.01.2021 10:42;8
1.01.2021 10:43;8
1.01.2021 10:44;8
1.01.2021 10:46;8
1.01.2021 10:47;8
1.01.2021 10:48;8
1.01.2021 10:50;8
1.01.2021 10:52;8
1.01.2021 10:55;25
1.01.2021 11:01;8
1.01.2021 11:02;8
