item_id,timestamp,target
H1,5/16/2020 0:00,79
H1,5/16/2020 1:00,77
H1,5/16/2020 2:00,51
H1,5/16/2020 3:00,38
H1,5/16/2020 4:00,39
H1,5/16/2020 5:00,18
H1,5/16/2020 6:00,11
H1,5/16/2020 7:00,17
H1,5/16/2020 8:00,28
H1,5/16/2020 9:00,52
H1,5/16/2020 10:00,54
H1,5/16/2020 11:00,103
H1,5/16/2020 12:00,109
H1,5/16/2020 13:00,153
H1,5/16/2020 14:00,148
H1,5/16/2020 15:00,138
H1,5/16/2020 16:00,125
H1,5/16/2020 17:00,109
H1,5/16/2020 18:00,124
H1,5/16/2020 19:00,98
H1,5/16/2020 20:00,103
H1,5/16/2020 21:00,108
H1,5/16/2020 22:00,147
H1,5/16/2020 23:00,129
H1,5/17/2020 0:00,116
H1,5/17/2020 1:00,76
H1,5/17/2020 2:00,59
H1,5/17/2020 3:00,55
H1,5/17/2020 4:00,47
H1,5/17/2020 5:00,17
H1,5/17/2020 6:00,15
H1,5/17/2020 7:00,20
H1,5/17/2020 8:00,20
H1,5/17/2020 9:00,41
H1,5/17/2020 10:00,68
H1,5/17/2020 11:00,101
H1,5/17/2020 12:00,121
H1,5/17/2020 13:00,149
H1,5/17/2020 14:00,160
H1,5/17/2020 15:00,152
H1,5/17/2020 16:00,141
H1,5/17/2020 17:00,143
H1,5/17/2020 18:00,119
H1,5/17/2020 19:00,142
H1,5/17/2020 20:00,88
H1,5/17/2020 21:00,108
H1,5/17/2020 22:00,137
H1,5/17/2020 23:00,141
H1,5/18/2020 0:00,125
H1,5/18/2020 1:00,71
H1,5/18/2020 2:00,67
H1,5/18/2020 3:00,59
H1,5/18/2020 4:00,44
H1,5/18/2020 5:00,21
H1,5/18/2020 6:00,20
H1,5/18/2020 7:00,26
H1,5/18/2020 8:00,37
H1,5/18/2020 9:00,112
H1,5/18/2020 10:00,113
H1,5/18/2020 11:00,139
H1,5/18/2020 12:00,240
H1,5/18/2020 13:00,1273
H1,5/18/2020 14:00,929
H1,5/18/2020 15:00,202
H1,5/18/2020 16:00,189
H1,5/18/2020 17:00,159
H1,5/18/2020 18:00,1033
H1,5/18/2020 19:00,1070
H1,5/18/2020 20:00,89
H1,5/18/2020 21:00,140
H1,5/18/2020 22:00,144
H1,5/18/2020 23:00,225
H1,5/19/2020 0:00,142
H1,5/19/2020 1:00,108
H1,5/19/2020 2:00,82
H1,5/19/2020 3:00,64
H1,5/19/2020 4:00,56
H1,5/19/2020 5:00,25
H1,5/19/2020 6:00,28
H1,5/19/2020 7:00,26
H1,5/19/2020 8:00,37
H1,5/19/2020 9:00,71
H1,5/19/2020 10:00,62
H1,5/19/2020 11:00,152
H1,5/19/2020 12:00,115
H1,5/19/2020 13:00,175
H1,5/19/2020 14:00,142
H1,5/19/2020 15:00,160
H1,5/19/2020 16:00,152
H1,5/19/2020 17:00,153
H1,5/19/2020 18:00,109
H1,5/19/2020 19:00,128
H1,5/19/2020 20:00,106
H1,5/19/2020 21:00,119
H1,5/19/2020 22:00,112
H1,5/19/2020 23:00,126
H1,5/20/2020 0:00,102
H1,5/20/2020 1:00,79
H1,5/20/2020 2:00,67
H1,5/20/2020 3:00,52
H1,5/20/2020 4:00,52
H1,5/20/2020 5:00,26
H1,5/20/2020 6:00,27
H1,5/20/2020 7:00,25
H1,5/20/2020 8:00,44
H1,5/20/2020 9:00,107
H1,5/20/2020 10:00,119
H1,5/20/2020 11:00,158
H1,5/20/2020 12:00,134
H1,5/20/2020 13:00,145
H1,5/20/2020 14:00,171
H1,5/20/2020 15:00,150
H1,5/20/2020 16:00,151
H1,5/20/2020 17:00,118
H1,5/20/2020 18:00,86
H1,5/20/2020 19:00,87
